Index	HP_max	AP_max	exp	att_basic	def_basic	mdef_basic	impact_short_def	impact_long_def	impact_att	cri_basic	speed_move_1	speed_move_2	recover_hp	recover_ap
1	200	36	153	30	18	10	0	0	5	5	2	4	5	3
2	230	48	307	31	18	10	0	0	5	5	2	4	5	3
3	260	60	538	32	19	11	0	0	5	5	2	4	5	3
4	300	72	846	33	19	11	0	0	5	5	2	4	5	3
5	340	84	1230	34	20	12	0	0	5	5	2	4	6	3
6	380	96	1692	35	21	12	0	0	5	5	2	4	6	3
7	420	108	2307	36	21	12	0	0	5	5	2	4	6	4
8	460	120	3076	37	22	13	0	0	5	5	2	4	6	4
9	498	132	4230	38	22	13	0	0	5	5	2	4	6	4
10	530	144	5384	39	23	13	0	0	5	5	2	4	7	4
11	562	156	6623	40	24	14	0	0	5	5	2	4	7	4
12	595	168	8146	41	24	14	0	0	5	5	2	4	7	4
13	628	180	10019	42	25	15	0	0	5	5	2	4	7	4
14	661	192	12323	43	25	15	0	0	5	5	2	4	7	5
15	694	204	15033	44	26	15	0	0	5	5	2	4	8	5
16	728	216	18340	45	27	16	0	0	5	5	2	4	8	5
17	762	228	22375	46	27	16	0	0	5	5	2	4	8	5
18	796	240	27073	47	28	16	0	0	5	5	2	4	8	5
19	830	252	32759	48	28	16	0	0	5	5	2	4	8	5
20	865	264	39638	49	29	17	0	0	5	5	2	4	9	5
21	900	276	47566	50	30	18	0	0	5	5	2	4	9	6
22	935	288	57079	51	30	18	0	0	5	5	2	4	9	6
23	970	300	68494	52	31	18	0	0	5	5	2	4	9	6
24	1006	312	81508	53	31	18	0	0	5	5	2	4	9	6
25	1042	324	96994	54	32	19	0	0	5	5	2	4	10	6
26	1078	336	114453	55	33	19	0	0	5	5	2	4	10	6
27	1114	348	135054	56	33	19	0	0	5	5	2	4	10	6
28	1151	360	158013	57	34	20	0	0	5	5	2	4	10	7
29	1188	372	184876	58	34	20	0	0	5	5	2	4	10	7
30	1225	384	214456	59	35	21	0	0	5	5	2	4	11	7
31	1262	396	248768	60	36	21	0	0	5	5	2	4	11	7
32	1300	408	286083	61	36	21	0	0	5	5	2	4	11	7
33	1338	420	328995	62	37	22	0	0	5	5	2	4	11	7
34	1376	432	375054	63	37	22	0	0	5	5	2	4	11	7
35	1414	444	427561	64	38	22	0	0	5	5	2	4	12	8
36	1453	456	483143	65	39	23	0	0	5	5	2	4	12	8
37	1492	468	545952	66	39	23	0	0	5	5	2	4	12	8
38	1531	480	611466	67	40	24	0	0	5	5	2	4	12	8
39	1570	492	684841	68	40	24	0	0	5	5	2	4	12	8
40	1610	504	760173	69	41	24	0	0	5	5	2	4	13	8
41	1650	516	843792	70	42	25	0	0	5	5	2	4	13	8
42	1690	528	936609	71	42	25	0	0	5	5	2	4	13	9
43	1730	540	1030270	72	43	25	0	0	5	5	2	4	13	9
44	1771	552	1133296	73	43	25	0	0	5	5	2	4	13	9
45	1812	564	1246626	74	44	26	0	0	5	5	2	4	14	9
46	1853	576	1371288	75	45	27	0	0	5	5	2	4	14	9
47	1894	588	1494703	76	45	27	0	0	5	5	2	4	14	9
48	1936	600	1629226	77	46	27	0	0	5	5	2	4	14	9
49	1978	612	1775856	78	46	27	0	0	5	5	2	4	14	10
50	2020	624	1935683	79	47	28	0	0	5	5	2	4	15	10
51	2062	636	2090538	80	48	28	0	0	5	5	2	4	15	10
52	2105	648	2257781	81	48	28	0	0	5	5	2	4	15	10
53	2148	660	2438403	82	49	29	0	0	5	5	2	4	15	10
54	2191	672	2657860	83	49	29	0	0	5	5	2	4	15	10
55	2234	684	2897066	84	50	30	0	0	5	5	2	4	16	10
56	2278	696	3157802	85	51	30	0	0	5	5	2	4	16	11
57	2322	708	3442003	86	51	30	0	0	5	5	2	4	16	11
58	2366	720	3786203	87	52	31	0	0	5	5	2	4	16	11
59	2410	732	4164823	88	52	31	0	0	5	5	2	4	16	11
60	2455	744	4581306	89	53	31	0	0	5	5	2	4	17	11
61	2500	756	5039436	90	54	32	0	0	5	5	2	4	17	11
62	2545	768	5593773	91	54	32	0	0	5	5	2	4	17	11
63	2590	780	6209088	92	55	33	0	0	5	5	2	4	17	12
64	2636	792	6892087	93	55	33	0	0	5	5	2	4	17	12
65	2682	804	7650216	94	56	33	0	0	5	5	2	4	18	12
66	2728	816	8491740	95	57	34	0	0	5	5	2	4	18	12
67	2774	828	9510749	96	57	34	0	0	5	5	2	4	18	12
68	2821	840	10652038	97	58	34	0	0	5	5	2	4	18	12
69	2868	852	11930283	98	58	34	0	0	5	5	2	4	18	12
70	2915	864	13361916	99	59	35	0	0	5	5	2	4	19	13
71	2962	876	14965346	100	60	36	0	0	5	5	2	4	19	13
72	3010	888	16910841	101	60	36	0	0	5	5	2	4	19	13
73	3058	900	19109250	102	61	36	0	0	5	5	2	4	19	13
74	3106	912	21593453	103	61	36	0	0	5	5	2	4	19	13
75	3154	924	24400601	104	62	37	0	0	5	5	2	4	20	13
76	3203	936	27572679	105	63	37	0	0	5	5	2	4	20	13
77	3252	948	31432853	106	63	37	0	0	5	5	2	4	20	14
78	3301	960	35833453	107	64	38	0	0	5	5	2	4	20	14
79	3350	972	40850136	108	64	38	0	0	5	5	2	4	20	14
80	3400	984	46569154	109	65	39	0	0	5	5	2	4	21	14
81	3450	996	53088836	110	66	39	0	0	5	5	2	4	21	14
82	3500	1008	60521273	111	66	39	0	0	5	5	2	4	21	14
83	3550	1020	68994250	112	67	40	0	0	5	5	2	4	21	14
84	3601	1032	78653445	113	67	40	0	0	5	5	2	4	21	15
85	3652	1044	89664927	114	68	40	0	0	5	5	2	4	22	15
86	3703	1056	102218016	115	69	41	0	0	5	5	2	4	22	15
87	3754	1068	117550719	116	69	41	0	0	5	5	2	4	22	15
88	3806	1080	135183326	117	70	42	0	0	5	5	2	4	22	15
89	3858	1092	155460825	118	70	42	0	0	5	5	2	4	22	15
90	3910	1104	178779948	119	71	42	0	0	5	5	2	4	23	15
91	3962	1116	205596940	120	72	43	0	0	5	5	2	4	23	16
92	4015	1128	236436480	121	72	43	0	0	5	5	2	4	23	16
93	4068	1140	274266317	122	73	43	0	0	5	5	2	4	23	16
94	4121	1152	318148928	123	73	43	0	0	5	5	2	4	23	16
95	4174	1164	372234246	124	74	44	0	0	5	5	2	4	24	16
96	4228	1176	435514067	125	75	45	0	0	5	5	2	4	24	16
97	4282	1188	513906599	126	75	45	0	0	5	5	2	4	24	16
98	4336	1200	611548853	127	76	45	0	0	5	5	2	4	24	17
99	4390	1212	733858623	128	76	45	0	0	5	5	2	4	24	17
