Index	Name	Function1	Function2	Function3	Damage1	Damage2	Damage3	Duration1	Duration2	Duration3	Method	Equip	Weapon	Material	Action	Special	Max_Lv	Hit_count	milli_delay	ReqAP	Buf_Lv	Target	apply_Target	Distance	Range_Type	Range_X	Range_Y	Req_Quest	Req_Skill	Req_SkLv	Req_Point	Req_Lv	CastingTime	CoolTime	CoolTime_Series	Scripts
1	튼튼한 육체	81	0	0	40	0	0	0	0	0	3	0	0	0	0	0	10	1	0	0	0	1	1	0	0	0	0	0	0	0	3	3	0	0	0	육체를 튼튼하게하여 HP최대치를 높여준다.
2	건강한 신체	69	0	0	20	0	0	0	0	0	3	0	0	0	0	0	10	1	0	0	0	1	1	0	0	0	0	0	1	3	3	10	0	0	0	신체를 건강하게 하여 HP회복력을 강화시킨다.
3	정신력 강화	87	0	0	40	0	0	0	0	0	3	0	0	0	0	0	10	1	0	0	0	1	1	0	0	0	0	0	0	0	3	3	0	0	0	정신력을 강화하여 AP최대치를 높여준다.
4	집중력 강화	75	0	0	19	0	0	0	0	0	3	0	0	0	0	0	10	1	0	0	0	1	1	0	0	0	0	0	3	3	3	10	0	0	0	집중력을 강화하여 AP회복력을 높여준다.
5	주사질	148	0	0	60	0	0	0	0	0	6	0	0	0	0	0	10	1	0	30	0	1	1	4	0	0	0	0	0	0	3	5	1500	4000	11	아군에게 주사를 놓아 HP를 회복할 수 있게끔 해준다.  자신에게는 사용할 수 없다.
6	용기의 외침	40	0	0	15	0	0	120	0	0	6	0	0	0	0	0	10	1	0	50	0	1	1	4	0	0	0	0	0	0	3	30	1500	4000	11	용기의 외침을 통해 자신이나 동료의 방어력을 높여준다.
7	전투의 외침	4	0	0	15	0	0	120	0	0	6	0	0	0	0	0	10	1	0	50	0	1	1	4	0	0	0	0	0	0	3	30	1500	4000	11	전투의 외침을 통해 자신이나 동료의 공격력을 높여준다.
8	지탱의 힘	26	32	0	5	5	0	0	0	0	2	5	10	0	0	0	20	1	0	0	0	1	1	0	0	0	0	0	0	0	2	5	0	0	0	방패를 들었을 시, 충격방어력을 높여준다.
9	일도양단	103	0	0	20	0	0	0	0	0	5	4	2	0	0	0	20	1	0	50	0	2	2	2	0	0	0	0	0	0	2	6	0	3000	11	적 하나에게 큰 타격을 입힌다.
10	내려찍기	104	0	0	-50	0	0	0	0	0	4	4	2	0	2	0	20	1	0	50	0	1	2	2	1	2	2	0	0	0	2	7	0	500	12	공중에서 지상을 내려 찍어, 주위에 있는 적들에게 데미지를 입힌다.  2단 점프 상태에서 ↓+A
11	방패공격	103	133	0	20	80	0	0	3	0	4	5	10	0	6	0	20	1	0	30	0	2	2	2	0	0	0	0	0	0	2	8	0	500	13	방패를 휘둘러쳐서 상대방에게 데미지를 입힘과 동시에 스턴 상태에 빠지게 한다.  대쉬 공격중에 A+S
12	일격필살	103	0	0	50	0	0	0	0	0	5	4	2	0	0	0	20	1	0	70	0	2	2	2	0	0	0	0	0	0	2	9	0	3000	14	적 하나에게 큰 타격을 입힌다.  일도양단보다 데미지가 높으며 쿨타임 계열도 다르다.
13	삼연살	104	135	0	-50	0	0	0	0	0	5	4	2	0	0	0	20	1	0	80	0	2	2	3	1	2	2	0	0	0	2	10	0	6000	15	근거리 전방에 있는 적 셋에게 데미지를 입힌다.
14	갑옷부수기	103	41	0	20	5	0	0	3	0	5	4	2	0	0	0	20	1	0	50	0	2	2	2	0	0	0	0	0	0	2	11	0	15000	16	적의 방어구를 부숴서 데미지를 입힘과 동시에, 일정 시간동안 방어력을 낮춘다.
15	강철자르기	103	0	0	70	0	0	0	0	0	4	4	2	0	13	0	20	1	0	60	0	2	2	2	0	0	0	0	0	0	2	12	0	500	17	콤보연계기로 단일 타겟에게 큰 데미지를 입힌다.  콤보3타 공격중, A+S
16	날카로운칼날	14	0	0	5	0	0	0	0	0	2	4	3	0	0	0	20	1	0	0	0	1	1	0	0	0	0	0	0	0	2	5	0	0	0	크리티컬 확률을 높인다.
17	천둥베기	103	0	0	20	0	0	0	0	0	5	4	3	0	0	0	20	1	0	50	0	2	2	3	0	0	0	0	0	0	2	6	0	3000	11	적 하나에게 큰 타격을 입힌다. 
18	쓸어버리기	104	109	0	-50	0	0	0	0	0	4	4	3	0	5	0	20	1	0	50	0	1	2	3	1	3	3	0	0	0	2	7	0	500	12	대쉬 중에 칼을 휘돌려 주위의 적들을 공격함과 동시에 충격으로 밀어버린다.  대쉬중에 A+S
19	제비베기	103	0	0	20	0	0	0	0	0	4	4	3	0	3	0	20	1	0	50	0	2	2	3	0	0	0	0	0	0	2	8	0	500	13	공중에서 세로로 회전하면서 적 대상 하나에게 큰 타격을 입힌다.  1단 점프 상태에서 A+S
20	회전베기	104	0	0	-50	0	0	0	0	0	5	4	3	0	0	0	20	1	0	50	0	1	2	3	1	3	3	0	0	0	2	9	0	5000	14	제자리에서 칼을 휘돌려 주위의 적들을 공격한다. 
21	방패부수기	103	41	0	10	5	0	0	3	0	5	4	3	0	0	0	20	1	0	50	0	2	2	3	0	0	0	0	0	0	2	10	0	15000	15	적 대상 하나에게 데미지를 입힘과 동시에 방어력을 떨어트린다.
