Index	Name	Division	Mot_Casting	Mot_Active	Sound_Hit	Icon_No	Icon_pos	Scripts
1	튼튼한 육체	1	-1	-1	blank	1	1	육체를 튼튼하게하여 HP최대치를 높여준다.
2	건강한 신체	1	-1	-1	blank	2	2	신체를 건강하게 하여 HP회복력을 강화시킨다.
3	정신력 강화	1	-1	-1	blank	3	3	정신력을 강화하여 AP최대치를 높여준다.
4	집중력 강화	1	-1	-1	blank	4	4	집중력을 강화하여 AP회복력을 높여준다.
5	주사질	1	22	23	blank	5	5	아군에게 주사를 놓아 HP를 회복할 수 있게끔 해준다.  자신에게는 사용할 수 없다.
6	용기의 외침	1	22	23	blank	6	6	용기의 외침을 통해 자신이나 동료의 방어력을 높여준다.
7	전투의 외침	1	22	23	blank	7	7	전투의 외침을 통해 자신이나 동료의 공격력을 높여준다.
8	지탱의 힘	2	-1	-1	blank	8	1	방패를 들었을 시, 충격방어력을 높여준다.
9	일도양단	2	-1	27	W_0907.wav	9	2	적 하나에게 큰 타격을 입힌다.
10	내려찍기	2	30	31	W_0907.wav	10	3	2단 점프 한 상태의 공중에서 지상을 내려 찍어, 주위에 있는 적들에게 데미지를 입힌다.
11	방패공격	2	-1	29	W_0907.wav	11	4	달려가면서 방패를 휘둘러쳐서 상대방에게 데미지를 입힘과 동시에 스턴 상태에 빠지게 한다.
12	일격필살	2	-1	28	W_0907.wav	12	5	적 하나에게 큰 타격을 입힌다.  일도양단보다 데미지가 높으며 쿨타임 계열도 다르다.
13	삼연살	2	-1	33	W_0907.wav	13	6	근거리 전방에 있는 적 셋에게 데미지를 입힌다.
14	갑옷부수기	2	-1	34	W_0907.wav	14	7	적의 방어구를 부숴서 데미지를 입힘과 동시에, 일정 시간동안 방어력을 낮춘다.
15	강철자르기	2	-1	32	W_0907.wav	15	8	3단 콤보까지 완성한 상태에서 사용할 수 있는 스킬로, 단일 타겟에게 데미지를 입히는 스킬 중에 가장 데미지가 높다.
16	날카로운칼날	3	-1	-1	blank	16	1	크리티컬 확률을 높인다.
17	천둥베기	3	-1	30	W_0907.wav	17	2	적 하나에게 큰 타격을 입힌다. 
18	쓸어버리기	3	-1	27	W_0907.wav	18	3	대쉬 중에 칼을 휘돌려 주위의 적들을 공격함과 동시에 충격으로 밀어버린다. 
19	제비베기	3	-1	29	W_0907.wav	19	4	1단 점프 상태에서 사용할 수 있는 스킬로, 적 대상 하나에게 큰 타격을 입힌다.  
20	회전베기	3	-1	32	W_0907.wav	20	5	제자리에서 칼을 휘돌려 주위의 적들을 공격한다. 
21	방패부수기	3	-1	34	W_0907.wav	21	6	적 대상 하나에게 데미지를 입힘과 동시에 방어력을 떨어트린다.
22	벼락베기	3	-1	28	W_0907.wav	22	7	3단 콤보까지 완성한 상태에서 사용할 수 있는 스킬로, 적 하나에게 매우 큰 타격을 입힌다.
23	섬광베기	3	-1	31	W_0907.wav	23	8	2단 콤보까지 완성한 상태에서 사용할 수 있는 스킬로, 섬광을 일으켜, 주위의 적들에게 데미지를 입힘과 동시에 눈을 멀게 함으로서 적들을 스턴 상태에 빠트린다.
24	회오리베기	3	-1	33	W_0907.wav	24	9	제자리에서 칼을 휘돌려 주위의 적들에게 큰 데미지를 입힌다.
25	예리한 눈빛	4	-1	23	blank	25	1	충격성공률을 높인다.
26	충격탄	4	22	31	W_0907.wav	26	2	적에게 데미지를 입힘과 동시에 스턴 상태에 빠트린다.
