Index	Item Drop Group Name	No1_ID	No1_PR	No2_ID	No2_PR	No3_ID	No3_PR	No4_ID	No4_PR	No5_ID	No5_PR	No6_ID	No6_PR	No7_ID	No7_PR	No8_ID	No8_PR	No9_ID	No9_PR	No10_ID	No10_PR	No11_ID	No11_PR	No12_ID	No12_PR	No13_ID	No13_PR	No14_ID	No14_PR	No15_ID	No15_PR	No16_ID	No16_PR	No17_ID	No17_PR	No18_ID	No18_PR	No19_ID	No19_PR	No20_ID	No20_PR	No21_ID	No21_PR	No22_ID	No22_PR	No23_ID	No23_PR	No24_ID	No24_PR	No25_ID	No25_PR	No26_ID	No26_PR	No27_ID	No27_PR	No28_ID	No28_PR	No29_ID	No29_PR	No30_ID	No30_PR	No31_ID	No31_PR	No32_ID	No32_PR	No33_ID	No33_PR	No34_ID	No34_PR	No35_ID	No35_PR	No36_ID	No36_PR	No37_ID	No37_PR	No38_ID	No38_PR	No39_ID	No39_PR	No40_ID	No40_PR	No41_ID	No41_PR	No42_ID	No42_PR	No43_ID	No43_PR	No44_ID	No44_PR	No45_ID	No45_PR	No46_ID	No46_PR	No47_ID	No47_PR	No48_ID	No48_PR	No49_ID	No49_PR	No50_ID	No50_PR	No51_ID	No51_PR	No52_ID	No52_PR	No53_ID	No53_PR	No54_ID	No54_PR	No55_ID	No55_PR	No56_ID	No56_PR	No57_ID	No57_PR	No58_ID	No58_PR	No59_ID	No59_PR	No60_ID	No60_PR	Enchant Drop Prob	Enchant Drop Equip Group	Enchant Drop Option Group	Enchant Drop Item Level	Grade 1 Prob	Grade 2 Prob	Grade 3 Prob	Grade 4 Prob	Grade 5 Prob	Grade 6 Prob	Grade 7 Prob	Grade 8 Prob	Grade 9 Prob
1	[1]큐란 (Lev.1)	331	3350624	332	1213994	333	242799	334	48560	411	3350624	412	1213994	413	242799	414	48560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	3350624	252	1213994	253	242799	254	48560	491	3350624	492	1213994	493	242799	494	48560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	[2]큐란 (Lev.2)	331	2134077	332	773216	333	154643	334	30929	411	2134077	412	773216	413	154643	414	30929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	2134077	252	773216	253	154643	254	30929	491	2134077	492	773216	493	154643	494	30929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	[3]큐큐란 (Lev.3)	331	1329363	332	481653	333	96331	334	19266	411	1329363	412	481653	413	96331	414	19266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	1329363	252	481653	253	96331	254	19266	491	1329363	492	481653	493	96331	494	19266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	[4]큐큐란 (Lev.4)	331	915194	332	331592	333	66318	334	13264	411	915194	412	331592	413	66318	414	13264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	915194	252	331592	253	66318	254	13264	491	915194	492	331592	493	66318	494	13264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	[5]꼼이 (Lev.5)	1001	192979	1002	149406	1003	164336	1004	192994	1005	192994	1006	192994	1007	192994	1008	137875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	[6]꼼이 (Lev.6)	1001	151000	1002	116905	1003	128588	1004	151011	1005	151011	1006	151011	1007	151011	1008	107883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	[7]큐브란 (Lev.6)	1001	182163	1002	141032	1003	155126	1004	182177	1005	182177	1006	182177	1007	182177	1008	130147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	[8]큐브란 (Lev.7)	1001	145927	1002	112977	1003	124267	1004	145937	1005	145937	1006	145937	1007	145937	1008	104258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	[9]꼼꼬미 (Lev.7)	1001	172868	1002	133836	1003	147210	1004	172881	1005	172881	1006	172881	1007	172881	1008	123506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	[10]꼼꼬미 (Lev.8)	1001	138471	1002	107205	1003	117918	1004	138481	1005	138481	1006	138481	1007	138481	1008	98931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	[11]래비틀 (Lev.8)	1023	90069	1025	76926	1027	68760	1029	90078	1031	90078	1033	90078	1035	90069	1037	72412	1024	32709	1026	24161	1028	20678	1030	31066	1032	30772	1034	30532	1036	28968	1038	21246	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	[12]래비틀 (Lev.9)	1023	59962	1025	51212	1027	45776	1029	59967	1031	59967	1033	59967	1035	59962	1037	48207	1024	21776	1026	16085	1028	13766	1030	20681	1032	20486	1034	20326	1036	19285	1038	14144	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	[13]래비티 (Lev.9)	1023	79345	1025	67767	1027	60573	1029	79353	1031	79353	1033	79353	1035	79345	1037	63791	1024	28815	1026	21284	1028	18216	1030	27367	1032	27109	1034	26897	1036	25519	1038	18717	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
