Index	Name	Lev	HP_max	AP_max	EXP	Att_basic	Def_basic	Att2_basic	Def2_basic	Eva_basic	Impact_short_def	Impact_long_def	Impact_att	mdef_basic	Cri_basic	recover_hp	recover_ap	speed_move_1	speed_move_2	speed_move_3	milli_delay_attack	area_attack	def_intensity	att_intensity	Skil01	Sk01_Rate	Skil02	Sk02_Rate	Skil03	Sk03_Rate	Skil04	Sk04_Rate	Skil05	Sk05_Rate	area_wander_w	area_wander_h	hostile_rate	area_vision	area_pursuit	flee_HP	milli_delay_regen	milli_delay_death	elements	summon	scripts	Graphic	scale	Drop	money_drop	money_min	money_max	qitem_id	quest_id	qitem_drop	type	regen_effect	mastery	mapicon
1	큐란	1	78	0	38	30	18	0	0	0	5	5	10	0	5	1	0	1	2	3.8	1000	1	1	1	13	15	0	0	0	0	0	0	0	0	8	4	0	2	12	15	15000	5000	0	0	1,2,3,4	T_Qran.act	1	1	60000000	2	4	0	0	0	0	regen_s.ms1	21	0
2	큐란	2	81	0	43	31	19	0	0	0	5	5	10	0	5	1	0	1	2	3.8	1000	1	1	1	13	15	0	0	0	0	0	0	0	0	8	4	0	2	12	15	15000	5000	0	0	1,2,3,4	T_Qran.act	1	2	59000000	4	6	0	0	0	0	regen_s.ms1	24	0
3	큐큐란	3	117	0	55	35	27	0	0	0	5	5	10	0	5	1	0	1	2	4	1000	1	2	2	13	15	0	0	0	0	0	0	0	0	8	4	50	2	12	0	15000	5000	0	0	5,6,7,8	T_QQran.act	1	3	59000000	6	8	0	0	0	0	regen_s.ms1	31	0
4	큐큐란	4	119	0	60	36	27	0	0	0	5	5	10	0	5	1	0	1	2	4	1000	1	2	2	13	15	0	0	0	0	0	0	0	0	8	4	50	2	12	0	15000	5000	0	0	5,6,7,8	T_QQran.act	1	4	58000000	8	10	0	0	0	0	regen_s.ms1	35	0
5	꼼이	5	135	0	65	42	28	0	10	0	5	5	10	0	5	1	0	1.2	2	4	1000	1	3	3	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	9,10,11,12	T_comy.act	1	5	58000000	9	11	1048	4	40000000	0	regen_s.ms1	38	0
6	꼼이	6	145	0	70	44	28	0	10	0	5	5	10	0	5	1	0	1.2	2	4	1000	1	3	3	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	9,10,11,12	T_comy.act	1	6	57000000	11	13	1048	4	40000000	0	regen_s.ms1	42	0
7	큐브란	6	145	0	70	44	28	0	0	0	5	5	10	0	5	2	0	1	2	4	1000	1	4	4	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	5,6,7,8	T_QBran.act	1	7	57000000	11	13	0	0	0	0	regen_s.ms1	45	0
8	큐브란	7	148	0	75	45	29	0	0	0	5	5	10	0	5	2	0	1	2	4	1000	1	4	4	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	5,6,7,8	T_QBran.act	1	8	56000000	13	15	0	0	0	0	regen_s.ms1	49	0
9	꼼꼬미	7	148	0	75	45	29	0	10	0	5	5	10	0	5	2	0	1.3	2.6	4	1000	1	5	5	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	9,10,11,12	T_comcomy.act	1	9	56000000	13	15	0	0	0	0	regen_s.ms1	52	0
10	꼼꼬미	8	150	0	80	50	30	0	10	0	5	5	10	0	5	2	0	1.3	2.6	4	1000	1	5	5	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	9,10,11,12	T_comcomy.act	1	10	56000000	15	17	0	0	0	0	regen_s.ms1	56	0
