Index	Speak
1	흐아암~
2	내 몸매도 이 정도면 훌륭하지?
3	아그작! 아그작!
4	다시는 세상 빛을 못 보게 해주지.
5	아프지? 아프지?
6	계란 바디는 나이스 바디!
7	조심해! 계란껍질 깨진다구!
8	이러다가 후라이 되겠어.
9	너! 물약 먹지마.
10	뽀작-
11	으악! 안돼!!
12	으으으으으~
13	앗! 죽어간다아아아아…
14	살려줘!
15	저리안가?
16	물약 먹으면 반칙!
17	크리티컬 힛트다!
18	아자아아!!!
19	큐~큐~ 큐큐
20	랄라~ 랄라~♪
21	큐브란을 만나러 가는 길~♬
22	돌진-!!!
23	머리 박치기!
24	흥! 쪼끄만게 어디서!
25	아프냐? 나도 아프다.
26	앗, 머리 리본떨어지겠다.
27	끄악- 살려줘.
28	나의 죽음을 큐브란에게 알리지 말아줘요.ㅠ_-
29	큐브란한테 이를꺼야.
30	어제 계란 팩 했는데…
31	큐팟!!
32	넌 이제 죽은 목숨이다!
33	꼬물꼬물
34	담배는 몸에 나쁘다.
35	쿨럭 쿨럭
36	재떨이 공격!
37	꿈지럭 거리는 벌레라고 얕보지마.
38	아쵸!
39	아얏 아얏
40	감히 날 때렸겠다?
41	지금 해보자는거야?
42	이럴수가…
43	복수할테다.
44	끄앙..
45	도망갈까?
46	으앗! 어쩌지!
47	흥. 그래도 버틸 수 있다!
48	훗. 아프지?
49	이게 바로 크리티컬!
50	어서 가버려!
51	큐큐란을 만나러 가는 길~♬
52	니가 큐큐란을 때린거냐!
53	얘가 병아리 무서운줄 모르네?
54	돌진이다!!!
55	아파? 나도 아프단 말야
56	윽. 이따가 큐큐란 만나야 하는데..
57	어우야! 그만해!
58	나의 죽음을 큐큐란에게 알리지 말아줘요. ㅠ_-
59	큐큐란 복수해줄꺼지?
60	으으… 이렇게 당하다니.
61	나 죽어 가는거 안보여?
62	윽. 위기일발!
63	아뵤오!
64	복수닷!!!
65	크리티컬 공격!
66	하얏~ 하얏~
67	간이 배 밖으로 나온 토끼~
68	누가누가 진짜일까~
69	거북이등짝 맛 좀 볼테냐!
70	혹시 너는 용왕님이 보낸 첩자?
71	아무리 그래도 내 간은 안내준다!!!!
72	어이쿠. 이것 봐라?
73	3초 후면 너는 죽은 목숨이다. 1, 2, 3!!!
74	그만 때려!
