Index	Name	Req_Flag	Req_Lv	Req_Item	Start_Time	End_Time	Map_ID	Pos_X	Pos_Y	Start_X	Start_Y	End_X	End_Y
1	앨리스마을에서 스테이지1 필드1-1로	0	0	0	-1	-1	2	97	50	90	2	262	50
2	스테이지1필드 1-1에서 앨리스마을로	0	0	0	-1	-1	1	221	20	134	3	225	38
3	스테이지1필드 1-1에서 1-2로	0	0	0	-1	-1	2	276	3	274	2	510	28
4	스테이지1필드 1-1에서 1-4로	0	0	0	-1	-1	2	713	3	711	2	915	18
5	스테이지1필드 1-2에서 1-1로	0	0	0	-1	-1	2	258	17	90	2	262	50
6	스테이지1필드 1-2에서 1-3로	0	0	0	-1	-1	2	521	3	519	2	694	16
7	스테이지1필드 1-2에서 1-4로	0	0	0	-1	-1	2	782	18	711	2	915	18
8	스테이지1필드 1-3에서 1-2로	0	0	0	-1	-1	2	477	19	274	2	510	28
9	스테이지1필드 1-3에서 2-2로	0	0	0	-1	-1	3	419	3	346	2	499	29
10	스테이지1필드 1-4에서 1-1로	0	0	0	-1	-1	2	261	3	90	2	262	50
11	스테이지1필드 1-4에서 1-2로	0	0	0	-1	-1	2	509	3	274	2	510	28
12	스테이지1필드 1-4에서 2-1로	0	0	0	-1	-1	3	119	5	113	2	337	41
13	스테이지1필드 2-1에서 1-4로	0	0	0	-1	-1	2	911	11	711	2	915	18
14	스테이지1필드 2-1에서 2-2로	0	0	0	-1	-1	3	348	3	346	2	499	29
15	스테이지1필드 2-1에서 2-4로	0	0	0	-1	-1	3	757	13	745	2	944	32
16	스테이지1필드 2-1에서 2-3로	0	0	0	-1	-1	3	519	23	514	2	737	30
17	스테이지1필드 2-2에서 2-1로	0	0	0	-1	-1	3	295	34	113	2	337	41
18	스테이지1필드 2-2에서 1-3로	0	0	0	-1	-1	2	692	6	519	2	694	16
19	스테이지1필드 2-2에서 2-4로	0	0	0	-1	-1	3	869	31	745	2	944	32
20	스테이지1필드 2-3에서 2-1로	0	0	0	-1	-1	3	324	3	113	2	337	41
21	스테이지1필드 2-3에서 2-4로	0	0	0	-1	-1	3	748	3	745	2	944	32
22	스테이지1필드 2-4에서 2-1로	0	0	0	-1	-1	3	326	15	113	2	337	41
23	스테이지1필드 2-4에서 2-2로	0	0	0	-1	-1	3	498	3	346	2	499	29
24	스테이지1필드 2-4에서 2-3로	0	0	0	-1	-1	3	730	22	514	2	737	30
25	스테이지1필드 2-4에서 스테이지1 던전1-1로	0	0	0	-1	-1	5	17	23	16	13	55	53
26	스테이지1던전1-1에서 스테이지1필드2-4로	0	0	0	-1	-1	3	939	16	745	2	944	32
27	스테이지1던전1-1에서 스테이지1던전1-2로	0	0	0	-1	-1	5	79	17	74	16	125	55
28	스테이지1던전1-2에서 스테이지1던전1-3으로	0	0	0	-1	-1	5	137	17	136	13	175	53
29	스테이지1던전1-3에서 스테이지1던전1-2로	0	0	0	-1	-1	5	125	19	74	16	125	55
30	스테이지1던전1-3에서 스테이지1던전1-4로	0	0	0	-1	-1	5	234	19	194	18	237	57
31	스테이지1던전1-3에서 스테이지1던전1-6으로	0	0	0	-1	-1	5	377	17	374	16	417	57
32	스테이지1던전1-4에서 스테이지1던전1-3으로	0	0	0	-1	-1	5	141	53	136	13	175	53
33	스테이지1던전1-4에서 스테이지1던전1-5로	0	0	0	-1	-1	5	259	17	254	15	353	41
34	스테이지1던전1-5에서 스테이지1던전1-4로	0	0	0	-1	-1	5	221	57	194	18	237	57
35	스테이지1던전1-5에서 스테이지1던전1-7로	0	0	0	-1	-1	5	463	17	432	16	495	81
36	스테이지1던전1-5에서 스테이지1던전1-6으로	0	0	0	-1	-1	5	415	57	374	16	417	57
37	스테이지1던전1-6에서 스테이지1던전1-5로	0	0	0	-1	-1	5	350	17	254	15	353	41
38	스테이지1던전1-6에서 스테이지1던전1-8로	0	0	0	-1	-1	5	29	111	16	92	43	111
39	스테이지1던전1-6에서 스테이지1던전1-3으로	0	0	0	-1	-1	5	171	53	136	13	175	53
40	스테이지1던전1-7에서 스테이지1던전1-5로	0	0	0	-1	-1	5	295	33	254	15	353	41
41	스테이지1던전1-7에서 스테이지1던전1-9로	0	0	0	-1	-1	5	79	83	66	82	93	109
42	스테이지1던전1-8에서 스테이지1던전1-6으로	0	0	0	-1	-1	5	415	17	374	16	417	57
43	스테이지1던전1-9에서 스테이지1던전1-7로	0	0	0	-1	-1	5	463	81	432	16	495	81
44	스테이지1던전1-9에서 로제마을로	0	0	0	-1	-1	6	66	15	65	5	216	42
45	스테이지 던전1-2에서 스테이지 던전1-1로	0	0	0	-1	-1	5	48	46	16	13	55	53
46	로제마을에서 스테이지1필드2-4	0	0	0	-1	-1	3	940	10	745	2	944	32
47	로제마을에서 스테이지2필드1-1로	0	0	0	-1	-1	7	145	35	143	2	345	36
48	스테이지2필드 1-1에서 로제마을로	0	0	0	-1	-1	6	216	40	65	5	216	42
49	스테이지2필드 1-1에서 1-2로	0	0	0	-1	-1	7	367	5	364	2	482	26
50	스테이지2필드 1-1에서 1-3으로	0	0	0	-1	-1	7	524	3	520	2	1000	31
51	스테이지2필드 1-1에서 2-1로	0	0	0	-1	-1	8	67	3	65	2	165	35
52	스테이지2필드 1-2에서 1-1로	0	0	0	-1	-1	7	208	25	143	2	345	36
53	스테이지2필드 1-2에서 1-3으로	0	0	0	-1	-1	7	671	27	520	2	1000	31
54	스테이지2필드 1-3에서 1-1로	0	0	0	-1	-1	7	325	36	143	2	345	36
55	스테이지2필드 1-3에서 1-2로	0	0	0	-1	-1	7	480	3	364	2	482	26
56	스테이지2필드 1-3에서 2-5로	0	0	0	-1	-1	8	930	22	644	2	973	28
57	스테이지2필드 2-1에서 1-1로	0	0	0	-1	-1	7	342	3	143	2	345	36
58	스테이지2필드 2-1에서 2-2로	0	0	0	-1	-1	8	179	6	176	2	320	27
59	스테이지2필드 2-1에서 2-3으로	0	0	0	-1	-1	8	342	37	341	2	557	37
60	스테이지2필드 2-2에서 2-1로	0	0	0	-1	-1	8	154	34	65	2	165	35
61	스테이지2필드 2-2에서 2-5로	0	0	0	-1	-1	8	652	26	644	2	973	28
62	스테이지2필드 2-3에서 2-1로	0	0	0	-1	-1	8	163	3	65	2	165	35
63	스테이지2필드 2-3에서 2-5로	0	0	0	-1	-1	8	647	3	644	2	973	28
64	스테이지2필드 2-4에서 2-5로	0	0	0	-1	-1	8	805	28	644	2	973	28
65	스테이지2필드 2-5에서 1-3으로	0	0	0	-1	-1	7	996	3	520	2	1000	31
66	스테이지2필드 2-5에서 2-2로	0	0	0	-1	-1	8	316	3	176	2	320	27
67	스테이지2필드 2-5에서 2-3으로	0	0	0	-1	-1	8	555	32	341	2	557	37
68	스테이지2필드 2-5에서 2-4로	0	0	0	-1	-1	8	589	3	588	2	622	45
69	스테이지2필드 2-5에서 엘리스마을로	0	0	0	-1	-1	1	171	11	134	3	225	38
70	엘리스마을에서 로제마을로	0	0	0	-1	-1	6	161	26	65	5	216	42
71	로제마을에서 엘리스마을로	0	0	0	-1	-1	1	164	35	134	3	225	38
72	앨리스마을에서 몬스터 테스트장으로	0	0	0	-1	-1	1	274	59	134	3	225	38
73	몬스터 테스트장에서 앨리스 마을로	0	0	0	-1	-1	1	150	19	134	3	225	38
